author_name,bookName,stars,published_by,price
"Lisa Jewell (Author), Tamaryn Payne (Narrator), Bea Holland (Narrator), Dom Thornburn (Narrator), Simon & Schuster Audio (Publisher) & 2 more",The Family Upstairs: A Novel,4.4,Amazon,
Linda Sue Park,A Long Walk to Water: Based on a True Story,4.8,Momentum V&E,14.4
"Diana Gabaldon (Author), Davina Porter (Narrator), Recorded Books (Publisher) & 0 more","A Breath of Snow and Ashes: Outlander, Book 6",4.8,Amazon,
by Wizards RPG Team (Author),Dungeons & Dragons Essentials Kit (D&D Boxed Set),4.8,Amazon,15.49
Judi KingryLauren Devine,Ball Complete Book of Home Preserving: 400 Delicious and Creative Recipes for Today,4.8,Bear Land,30
"Isaac Asimov (Author), William Hope (Narrator), HarperCollins (Publisher) & 0 more","Foundation: The Foundation Trilogy, Book 1",4.5,Amazon,
Orson Scott Card,"Ender's Game (The Ender Saga, 1)",4.6,Goodwill of Orange County,7.99
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,California Book Bag,13.92
Gina Homolka,The Skinnytaste Air Fryer Cookbook: The 75 Best Healthy Recipes for Your Air Fryer,4.6,kichoyproductions,14.06
Dr. Seuss,Fox in Socks: Dr. Seuss's Book of Tongue Tanglers (Bright & Early Board Books(TM)),4.9,Amazon,3.4
Howard Zinn,A People's History of the United States,4.7,Vivé Liber Books LLC,13.29
Stephenie Meyer,"Breaking Dawn (The Twilight Saga, Book 4)",4.7,VMG Books & Media,13.99
Jade Summer,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",4.6,Amazon Warehouse,9.99
Dr. Seuss,The Little Blue Box of Bright and Early Board Books by Dr. Seuss (Bright & Early Board Books(TM)),4.8,Ivy_League_Books,11.98
"Jane Harper (Author), Stephen Shanahan (Narrator), Macmillan Audio (Publisher) & 0 more",The Survivors: A Novel,4.2,Amazon,
James Patterson,Deadly Cross (Alex Cross Book 28),4.7,Amazon,
Dav Pilkey,Dog Man Unleashed: A Graphic Novel (Dog Man #2): From the Creator of Captain Underpants (2),4.9,Seattlegoodwill,9
"Charles Dickens (Author), Derek Miller (Narrator), MVP (Publisher) & 0 more",A Christmas Carol,4.7,Amazon,
Mark Sullivan,Beneath a Scarlet Sky: A Novel,4.7,-OnTimeBooks-,13.46
Ernest Cline,Ready Player One: A Novel,4.7,Treasures & Goods,11
"Lee Child (Author), Dick Hill (Narrator), Random House Audio (Publisher) & 0 more","Night School: Jack Reacher, Book 21",4.3,Amazon,
Teresa Driscoll,Her Perfect Family,4.2,Amazon,
John Grisham,Sooley: A Novel,4.5,HPB-Diamond,33.2
Lee Child,Killing Floor (Jack Reacher),4.5,Clean Earth Books,
Nicholas Sparks,Every Breath,4.7,Amazon,9.13
"P. D. Eastman (Author), Julia Whelan (Narrator), Listening Library (Publisher) & 0 more",Are You My Mother?: Beginner Books(R),4.9,Amazon,
"Napoleon Hill (Author), Erik Synnestvedt (Narrator), Gildan Media, LLC (Publisher) & 0 more",Think and Grow Rich,4.7,Amazon,
"Adam Kay (Author, Narrator), Picador (Publisher)",This Is Going to Hurt: Secret Diaries of a Junior Doctor,4.6,Amazon,
"Jennifer L. Armentrout (Author), Stina Nielsen (Narrator), Brilliance Audio (Publisher) & 0 more","The Crown of Gilded Bones: Blood and Ash, Book 3",4.6,Amazon,
"Louise Penny (Author), Hillary Rodham Clinton (Author), Joan Allen (Narrator), Simon & Schuster/St. Martin’s Press (Publisher) & 1 more",State of Terror: A Novel,4.5,Amazon,
Damien Boyd,As the Crow Flies (DI Nick Dixon Crime Book 1),4.2,Amazon,
Shari Lapena,The Couple Next Door: A Novel,4.3,-OnTimeBooks-,9.96
"Tana French (Author), Roger Clark (Narrator), Penguin Audio (Publisher) & 0 more",The Searcher: A Novel,4.3,Amazon,
Stephen King,The Institute: A Novel,4.7,LiquidationFactor,13.93
Rupi Kaur,Milk and Honey,4.7,VMG Books & Media,7.38
"Brit Bennett (Author), Shayna Small (Narrator), Penguin Audio (Publisher) & 0 more",The Vanishing Half: A Novel,4.4,Amazon,
"Julia Whelan (Narrator), Kirby Heyborne (Narrator), Gillian Flynn (Author), Random House Audio (Publisher) & 1 more",Gone Girl: A Novel,4.1,Amazon,
Amy Harmon,What the Wind Knows,4.6,Goodwill NWNC,8.19
Craig Smith,The Dinky Donkey,4.8,Amazon,4.42
Edwina Mc Namee,Stoner Coloring Book for Adults: The Stoner's Psychedelic Coloring Book,4.7,Vivé Liber Books LLC,7.99
"Roy Dotrice (Narrator), George R.R. Martin (Author), Random House Audio (Publisher) & 0 more","A Clash of Kings: A Song of Ice and Fire, Book 2",4.7,Amazon,
Heather Morris,The Tattooist of Auschwitz: Young Adult edition - including new foreword and Q+A by the author: the heart-breaking and unforgettable international bestseller,4.7,Reuseaworld,12.28
"Robert Dugoni (Author), Emily Sutton-Smith (Narrator), Brilliance Audio (Publisher) & 0 more","Her Final Breath: Tracy Crosswhite, Book 2",4.6,Amazon,
"Madeline Miller (Author), Perdita Weeks (Narrator), Hachette Audio (Publisher) & 0 more",Circe,4.6,Amazon,
